
ScenarioMultChar.cpp
timestamp,# collisions,agent 0 path length,agent 0 effort,agent 0 get target,agent 1 path length,agent 1 effort,agent 1get target,agent 2 path length,agent 2 effort,agent 2get target,
0,,0;0.16725,false,20.0062;0.16725,false,1;0,false,
0.00166667,,0.00321515;0.383208,false,40.0151;0.335748,false,1.99814;0,false,
0.00333333,,0.00564788;0.614629,false,60.026;0.503991,false,2.9949;0,false,
0.005,,0.00781676;0.847219,false,80.0391;0.672027,false,3.99081;0,false,
0.00666667,,0.0095978;1.07908,false,100.054;0.839909,false,4.9862;0,false,
0.00833333,,0.0111689;1.31945,false,120.071;1.00813,false,5.98121;0,false,
0.01,,0.0123871;1.55745,false,140.088;1.17616,false,6.97611;0,false,
0.0116667,,0.0133494;1.79304,false,160.107;1.34405,false,7.97105;0,false,
0.0133333,,0.0141837;2.0263,false,180.127;1.51186,false,8.96609;0,false,
0.015,,0.0149181;2.25726,false,200.148;1.67975,false,9.96132;0,false,
0.0166667,,0.0155633;2.48597,false,220.17;1.84758,false,10.9568;0,false,
0.0183333,,0.0161258;2.7125,false,240.193;2.01532,false,11.9526;0,false,
0.02,,0.0166115;2.93688,false,260.217;2.18304,false,12.9487;0,false,
0.0216667,,0.0170289;3.15917,false,280.241;2.35078,false,13.9453;0,false,
0.0233333,,0.0173847;3.37942,false,300.266;2.51859,false,14.9424;0,false,
0.025,,0.0176889;3.59768,false,320.291;2.68646,false,15.94;0,false,
0.0266667,,0.0179538;3.814,false,340.317;2.85446,false,16.9382;0,false,
0.0283333,,0.0181934;4.02842,false,360.344;3.02263,false,17.9369;0,false,
0.03,,0.0184267;4.24101,false,380.371;3.19103,false,18.9364;0,false,
0.0316667,,0.0186711;4.45181,false,400.398;3.35971,false,19.9365;0,false,
0.0333333,,0.0189404;4.66087,false,420.426;3.52872,false,20.9374;0,false,
0.035,,0.0192439;4.86824,false,440.454;3.6981,false,21.9391;0,false,
0.0366667,,0.0195874;5.07398,false,460.483;3.86792,false,22.9415;0,false,
0.0383333,,0.0199744;5.27812,false,480.511;4.03821,false,23.9448;0,false,
0.04,,0.0204073;5.48073,false,500.54;4.20904,false,24.949;0,false,
0.0416667,,0.0208862;5.68186,false,520.569;4.38044,false,25.954;0,false,
0.0433333,,0.0214135;5.88154,false,540.598;4.55248,false,26.9599;0,false,
0.045,,0.0219875;6.07984,false,560.627;4.7252,false,27.9668;0,false,
0.0466667,,0.0226064;6.27681,false,580.656;4.89865,false,28.9747;0,false,
0.0483333,,0.0232647;6.47249,false,600.685;5.07288,false,29.9834;0,false,
0.05,,0.0239551;6.66693,false,620.713;5.24794,false,30.9932;0,false,
0.0516667,,0.0246745;6.86019,false,640.742;5.42389,false,32.004;0,false,
0.0533333,,0.0254188;7.05232,false,660.771;5.60077,false,33.0158;0,false,
0.055,,0.0261854;7.24337,false,680.799;5.77863,false,34.0287;0,false,
0.0566667,,0.0269708;7.43338,false,700.827;5.95753,false,35.0426;0,false,
0.0583333,,0.0277736;7.62241,false,720.855;6.13751,false,36.0576;0,false,
0.06,,0.0285898;7.81057,false,740.883;6.31863,false,37.0737;0,false,
0.0616667,,0.0294199;7.99791,false,760.911;6.50093,false,38.0908;0,false,
0.0633333,,0.0302629;8.18447,false,780.938;6.68447,false,39.1092;0,false,
0.065,,0.0311181;8.37029,false,800.965;6.8693,false,40.1286;0,false,
0.0666667,,0.0319829;8.55543,false,820.992;7.05546,false,41.1492;0,false,
0.0683333,,0.0328563;8.73991,false,841.019;7.24301,false,42.171;0,false,
0.07,,0.0337314;8.92389,false,861.046;7.432,false,43.1939;0,false,
0.0716667,,0.0346165;9.10743,false,881.072;7.62247,false,44.218;0,false,
0.0733333,,0.0355083;9.29056,false,901.098;7.81448,false,45.2433;0,false,
0.075,,0.0364072;9.4733,false,921.124;8.00809,false,46.2698;0,false,
0.0766667,,0.0373114;9.65569,false,941.15;8.20333,false,47.2975;0,false,
0.0783333,,0.0382188;9.83778,false,961.175;8.40026,false,48.3263;0,false,
0.08,,0.0391304;10.0196,false,981.201;8.59893,false,49.3564;0,false,
0.0816667,,0.0400441;10.2012,false,1001.23;8.79939,false,50.3877;0,false,
0.0833333,,0.0409596;10.3826,false,1021.25;9.0017,false,51.4203;0,false,
0.085,,0.0418761;10.5638,false,1041.27;9.20589,false,52.4541;0,false,
